Title,Offer_price,Real_price,Discount,Rating,Review,Category,Platform
MAYBELLINE NEW YORK Serum Lipstick (Matte) 8Hr Hydrated color - 002 Maybe It's,569,599.0,5,4.4,138,lipstick,Flipkart
Mamaearth Moisture Matte Lipstick for 12 Hour Long Stay- Carnation Nude,527,599.0,12,4.1,66462,lipstick,Flipkart
MAYBELLINE NEW YORK Sensational Liquid Matte Lipstick,65,429.0,84,4.1,65670,lipstick,Flipkart
Flemmi Non Transfer waterproof Longlast Sensational Liquid Matte Lipsticks,88,399.0,77,4.0,908,lipstick,Flipkart
MISS ROSE lipstick set 6- piece (shade A),130,1299.0,89,3.9,31835,lipstick,Flipkart
MINARA Matte Liquid Lipstick Pack of 6 - Reds,128,999.0,87,3.8,6353,lipstick,Flipkart
Flemmi Liquid Matte Long Lasting Waterproof Lipsticks,91,399.0,77,3.9,250,lipstick,Flipkart
MAYBELLINE NEW YORK Color Sensational Creamy Matte Lipstick,229,329.0,30,4.2,128273,lipstick,Flipkart
Color Sky Nandiayan Dark Shades Set of 12 Liquid Matte Lipsticks | Long Lasting Wear,135,699.0,80,3.7,88,lipstick,Flipkart
"skin21 Waterproof Long Lasting Lipsticks | 12hrs stay,Non Transfer",120,399.0,69,4.7,16,lipstick,Flipkart
"BLUSHIS Non Transfer Insta Beauty Waterproof Longlast SensationaL Liquid Matte Mini Lipstick Combo Pack Of 4 Red ,Purple Maroon and Magenta Colour Shade",98,499.0,80,4.0,274490,lipstick,Flipkart
BLUSHIS Lipstick Set of 12 Matte Velvet Mini Liquid Lipstick Set for Women,175,999.0,82,4.0,21015,lipstick,Flipkart
FACES CANADA Comfy Matte Wow Liquid Lipstick | Highly Pigmented | Long Lasting,236,299.0,21,4.2,45823,lipstick,Flipkart
Nandiayan by Colorsky Long-Lasting Waterproof 6Pcs Matte Liquid Lipstick Makeup Set A,119,1199.0,90,3.9,3240,lipstick,Flipkart
"Lakmé Forever Matte Liquid Lip, 16hr Lipstick, Waterproof & Smudgeproof",281,429.0,34,4.2,234944,lipstick,Flipkart
Onfroi Matte Ink Liquid Lipstick Set - Smudge-Proof & Waterproof (Pack of 8 Shades),79,499.0,84,4.1,2652,lipstick,Flipkart
Lakmé Forever Matte Liquid Lip Colour -,225,450.0,50,4.2,234944,lipstick,Flipkart
"SWISS BEAUTY Pure Matte Creamy Lipstick|Non-drying, Highly pigmented Lipstick",183,229.0,20,4.1,96691,lipstick,Flipkart
Renee Very Matte Lipstick-,127,199.0,36,3.7,644,lipstick,Flipkart
NOY Long-Lasting Liquid Matte Lipstick Bold Intense Colors for Playful Look #NL119,117,599.0,80,4.0,13384,lipstick,Flipkart
BLUSHIS Waterproof Longlast SensationaL Liquid Matte Mini Lipsticks Combo Of 8,134,349.0,61,4.0,274490,lipstick,Flipkart
Lakmé 9TO5 Primer + Matte Lip Color,459,650.0,29,4.1,123290,lipstick,Flipkart
"BEAUTY PEOPLE Desi Diva Matte Lipstick, Longlasting 12 Hours, Waterproof",111,149.0,25,4.1,604,lipstick,Flipkart
Beauty Women Waterproof Non Transfer Long Lastineg�Liquid lipstick Combo set of 4 pc,111,399.0,72,4.0,457,lipstick,Flipkart
BLUSHIS Handiyan Nude COLOR lipstick set of 6,135,999.0,86,4.0,21015,lipstick,Flipkart
Hilary Rhoda Touch Of Mousse Lipstick | Matte Finish & Long Lasting | Smudge & Water Proof,229,269.0,14,4.2,1080,lipstick,Flipkart
"Lakmé 9to5 Powerplay Priming Matte Lipstick, Lasts 16hrs",338,650.0,48,4.1,123290,lipstick,Flipkart
Yuvami's Set of 12 Long Lasting Liquid Lipsticks Matte Finish (Multicolor),150,999.0,84,4.1,1393,lipstick,Flipkart
"SWISS BEAUTY Pure Matte Creamy Lipstick|Non-drying, Highly pigmented Lipstick",183,229.0,20,4.1,96691,lipstick,Flipkart
Earthcon Super Stay Matte ink Bold Lipcolor Gel Lipstick Pack 3,76,399.0,80,3.9,3573,lipstick,Flipkart
Lakmé Forever Matte Lipstick,225,375.0,40,4.2,86494,lipstick,Flipkart
skin21 Waterproof Non Transfer Matte Liquid Lipsticks,118,399.0,70,4.4,17,lipstick,Flipkart
NOY Ultra Matte Liquid Lip Color- Waterproof Long Lasting Lipstick for Indian #NL141,115,599.0,80,4.0,13384,lipstick,Flipkart
BELLAVITA Comfort Matte Bullet Lipstick | Intense Moisturization | Smooth Glide |,179,275.0,34,3.9,14439,lipstick,Flipkart
MINARA Matte Liquid Lipstick Pack of 6 - Reds,128,999.0,87,3.8,6353,lipstick,Flipkart
Mamaearth Moisture Matte Lipstick for 12 Hour Long Stay- Carnation Nude,527,599.0,12,4.1,66462,lipstick,Flipkart
Seven Seas Color Edition Day Long Lipcolor Lipstick | Waterproof | Smudge Proof Lipstick,126,249.0,49,3.8,1613,lipstick,Flipkart
"Dazller All Day Lipcolour, Ultra Intense Matte,Smudge-Proof, Lightweight,Up to 8Hrs Stay",190,217.0,12,4.2,51049,lipstick,Flipkart
"SWISS BEAUTY Pure Matte Creamy Lipstick|Non-drying, Highly pigmented Lipstick",183,229.0,20,4.1,96691,lipstick,Flipkart
Lakmé Matte Liquid Lip Colour -,295,450.0,34,4.2,234944,lipstick,Flipkart
Color Sky Nandiayan Dark Shades Set of 12 Liquid Matte Lipsticks | Long Lasting Wear,135,699.0,80,3.7,88,lipstick,Flipkart
"skin21 Waterproof Long Lasting Lipsticks | 12hrs stay,Non Transfer",120,399.0,69,4.7,16,lipstick,Flipkart
BLUSHIS The Daily Pack Professionally Forever Matte Liquid Lip Colour Combo Pack Of 5 pc,115,499.0,76,4.0,274490,lipstick,Flipkart
Seven Seas Babe Glittery Lip Gloss With High Shine,142,299.0,52,4.2,850,lipstick,Flipkart
"Lakmé Forever Matte Liquid Lip, 16hr Lipstick, Waterproof & Smudgeproof",281,429.0,34,4.2,234944,lipstick,Flipkart
INSIGHTCOSMETIC 24 Hrs Non Transfer Matte Lipstick,234,295.0,20,4.0,182,lipstick,Flipkart
"SUGAR Cosmetics Smudge Me Not Mini Liquid Matte Lipstick,Transferproof & Enriched with Vitamin E",159,249.0,36,3.9,56925,lipstick,Flipkart
"SWISS BEAUTY Pure Matte Creamy Lipstick|Non-drying, Highly pigmented Lipstick",206,229.0,10,4.1,96691,lipstick,Flipkart
huemic HANDAIYAN Liquid Matte Lipstick 12 pcs set Waterproof Long lasting,121,999.0,87,3.7,341,lipstick,Flipkart
Lakmé Forever Matte Liquid Lip Colour -,225,450.0,50,4.2,234944,lipstick,Flipkart
rezmay Beauty Promo Pack Sensational Liquid Matte Lipstick Set of 4 + 1 EyeLiner,99,500.0,80,3.8,40491,lipstick,Flipkart
BLUSHIS Alovera lipstick Lip Gloss (pink magic lipstick),95,299.0,68,3.8,502,lipstick,Flipkart
Lakmé 9TO5 Primer + Matte Lip Color,459,650.0,29,4.1,123290,lipstick,Flipkart
"BEAUTY PEOPLE Desi Diva Matte Lipstick, Longlasting 12 Hours, Waterproof",111,149.0,25,4.1,604,lipstick,Flipkart
"BELLAVITA Kiss-Proof Liquid Lipstick, Intense Moisturisation, Ultra Matte Finish",209,449.0,53,4.1,4480,lipstick,Flipkart
SWISS BEAUTY Non_Transfer Matte Lipstick (SB-209-13),65,329.0,80,4.2,27648,lipstick,Flipkart
COLORBAR Velvet Matte Lipstick,230,449.0,48,4.3,323,lipstick,Flipkart
FACES CANADA Weightless Creme Hydrating Lipstick with Almond Oil,190,249.0,23,4.0,10937,lipstick,Flipkart
Hilary Rhoda Touch Of Mousse Lipstick | Matte Finish & Long Lasting | Smudge & Water Proof,229,269.0,14,4.2,1080,lipstick,Flipkart
"Lakmé 9to5 Powerplay Priming Matte Lipstick, Lasts 16hrs",338,650.0,48,4.1,123290,lipstick,Flipkart
Lakmé Forever Matte Lipstick,191,375.0,49,4.2,86494,lipstick,Flipkart
"Shryoan Twin-Tastic Soft Lip Crayon| Matte Finish, Waterproof & Long-Lasting Lipstick",119,329.0,63,3.7,1827,lipstick,Flipkart
MAYBELLINE NEW YORK Serum Lipstick (Matte) 8Hr Hydrated color - 002 Maybe It's,569,599.0,5,4.4,138,lipstick,Flipkart
Lakmé Forever Matte Lipstick,225,375.0,40,4.2,86494,lipstick,Flipkart
HUDA CRUSH Swiss Edition Set of 12 Beauty Liquid Lipstick Matte Finish Lipsticks Combo Pack,260,999.0,73,4.1,3070,lipstick,Flipkart
BELLAVITA Mini Kiss Proof Liquid Lipstick Gift Box|4X2ML| Smudge-Proof & Long Lasting|,449,699.0,35,4.4,1427,lipstick,Flipkart
Beauty Women 12 PC Liquid Matte Lipstick Waterproof & Longlasting,179,999.0,82,4.0,445,lipstick,Flipkart
NOY Sensational Nude Beauty Lip Shades: 5 Classic Matte Lipstick Favorites #WC120,129,745.0,82,4.1,7689,lipstick,Flipkart
skin21 Waterproof Non Transfer Matte Liquid Lipsticks,118,399.0,70,4.4,17,lipstick,Flipkart
MAYBELLINE NEW YORK Superstay Teddy Tint - Lip and Cheek Color | Heart Locket,477,749.0,36,4.2,849,lipstick,Flipkart
Mamaearth Soft Matte,333,399.0,16,4.1,31350,lipstick,Flipkart
BLUSHIS Non Transfer Waterproof Longlast Matte Liquid Lipstick,54,399.0,86,4.0,4137,lipstick,Flipkart
Just Herbs Ayurvedic Lipstick Micro-Mini Kit - 16 Shades Pack Of 2,251,1150.0,78,3.9,94293,lipstick,Flipkart
Just Herbs Herb-Enriched Ayurvedic Intense Colour Micro Mini Lipstick Set - 16 Shades,179,575.0,68,3.9,94293,lipstick,Flipkart
